time,uav0_coords,uav0_state,uav1_coords,uav1_state,uav2_coords,uav2_state,uav3_coords,uav3_state,uav4_coords,uav4_state,uav5_coords,uav5_state,uav6_coords,uav6_state
36.301064014434814,"[-19.983503341674805, 9.978958129882812, 10.006970405578613]",,"[-0.003423824207857251, 30.002790451049805, 9.99431037902832]",,"[-10.01962947845459, 70.00597381591797, 10.007904052734375]",,"[39.975223541259766, 24.979082107543945, 9.996634483337402]",,"[-35.013328552246094, -51.006011962890625, 9.998018264770508]",,"[-51.01516342163086, -34.99518966674805, 9.991387367248535]",,"[-50.99342727661133, 0.0037638393696397543, 9.999967575073242]",
36.3502471446991,"[-19.98310089111328, 9.97902774810791, 10.006824493408203]",,"[-0.002529504708945751, 30.001562118530273, 9.994209289550781]",,"[-10.019588470458984, 70.00628662109375, 10.007733345031738]",,"[39.97543716430664, 24.980144500732422, 9.996545791625977]",,"[-35.012001037597656, -51.00575256347656, 9.997673034667969]",,"[-51.0151252746582, -34.995140075683594, 9.991055488586426]",,"[-50.992733001708984, 0.004111739806830883, 9.999527931213379]",
36.40034317970276,"[-19.982412338256836, 9.979103088378906, 10.006573677062988]",,"[-0.0011541031999513507, 29.999635696411133, 9.994044303894043]",,"[-10.019451141357422, 70.00689697265625, 10.007590293884277]",,"[39.97611618041992, 24.982757568359375, 9.996115684509277]",,"[-35.011512756347656, -51.00565719604492, 9.997503280639648]",,"[-51.01511764526367, -34.99515151977539, 9.9909029006958]",,"[-50.992454528808594, 0.004222280345857143, 9.999387741088867]",
36.45085620880127,"[-19.981908798217773, 9.979110717773438, 10.006486892700195]",,"[0.000823794340249151, 29.996858596801758, 9.993907928466797]",,"[-10.01941967010498, 70.00718688964844, 10.007548332214355]",,"[39.976505279541016, 24.98422622680664, 9.99598503112793]",,"[-35.010276794433594, -51.005489349365234, 9.997147560119629]",,"[-51.01512908935547, -34.995243072509766, 9.990700721740723]",,"[-50.991920471191406, 0.0043892627581954, 9.99914836883545]",
36.500564098358154,"[-19.98162841796875, 9.979107856750488, 10.006329536437988]",,"[0.0034504802897572517, 29.993120193481445, 9.993650436401367]",,"[-10.019448280334473, 70.0075912475586, 10.007377624511719]",,"[39.977210998535156, 24.986705780029297, 9.995787620544434]",,"[-35.009674072265625, -51.005367279052734, 9.99689769744873]",,"[-51.01517868041992, -34.995277404785156, 9.990708351135254]",,"[-50.99174880981445, 0.004453855566680431, 9.999030113220215]",
36.55042219161987,"[-19.981277465820312, 9.979148864746094, 10.006144523620605]",,"[0.004483811091631651, 29.99155044555664, 9.993528366088867]",,"[-10.019451141357422, 70.00788879394531, 10.007246971130371]",,"[39.9775276184082, 24.98769760131836, 9.995699882507324]",,"[-35.0086784362793, -51.00523376464844, 9.99661922454834]",,"[-51.015262603759766, -34.995426177978516, 9.99106502532959]",,"[-50.991512298583984, 0.004540509078651667, 9.998798370361328]",
36.600258111953735,"[-19.981157302856445, 9.979207038879395, 10.006142616271973]",,"[0.00558579433709383, 29.989805221557617, 9.993440628051758]",,"[-10.019423484802246, 70.00830078125, 10.007196426391602]",,"[39.97805404663086, 24.98892593383789, 9.995824813842773]",,"[-35.00829315185547, -51.00519943237305, 9.996604919433594]",,"[-51.01530456542969, -34.99549865722656, 9.991251945495605]",,"[-50.9914665222168, 0.004553374834358692, 9.998627662658691]",
36.65032601356506,"[-19.98107147216797, 9.979416847229004, 10.006112098693848]",,"[0.007656937465071678, 29.98651695251465, 9.993368148803711]",,"[-10.019450187683105, 70.0085220336914, 10.007237434387207]",,"[39.97899627685547, 24.991256713867188, 9.996061325073242]",,"[-35.00754165649414, -51.005069732666016, 9.996763229370117]",,"[-51.01533889770508, -34.99566650390625, 9.991744041442871]",,"[-50.99137878417969, 0.004623249638825655, 9.998268127441406]",
36.70024919509888,"[-19.98103141784668, 9.979658126831055, 10.006291389465332]",,"[0.009088964201509953, 29.984241485595703, 9.993338584899902]",,"[-10.01944637298584, 70.009033203125, 10.00743293762207]",,"[39.97932434082031, 24.991992950439453, 9.99612045288086]",,"[-35.00725173950195, -51.00498580932617, 9.99676513671875]",,"[-51.0153694152832, -34.995704650878906, 9.992061614990234]",,"[-50.99138641357422, 0.004654687829315662, 9.998164176940918]",
36.75039505958557,"[-19.980932235717773, 9.979989051818848, 10.006492614746094]",,"[0.011393972672522068, 29.980649948120117, 9.993491172790527]",,"[-10.019444465637207, 70.00942993164062, 10.007547378540039]",,"[39.9804573059082, 24.99445915222168, 9.996359825134277]",,"[-35.00663375854492, -51.00478744506836, 9.996912956237793]",,"[-51.015411376953125, -34.99580001831055, 9.993144035339355]",,"[-50.991336822509766, 0.004780828952789307, 9.997950553894043]",
36.80024814605713,"[-19.98084831237793, 9.980192184448242, 10.006647109985352]",,"[0.012309628538787365, 29.979196548461914, 9.993534088134766]",,"[-10.019497871398926, 70.01013946533203, 10.00778579711914]",,"[39.98160934448242, 24.996862411499023, 9.996818542480469]",,"[-35.00639343261719, -51.00469207763672, 9.997045516967773]",,"[-51.01548385620117, -34.99579620361328, 9.993614196777344]",,"[-50.991302490234375, 0.00483644288033247, 9.99796199798584]",
36.85029315948486,"[-19.980722427368164, 9.980637550354004, 10.006980895996094]",,"[0.01430133543908596, 29.975990295410156, 9.993673324584961]",,"[-10.019540786743164, 70.01045989990234, 10.008008003234863]",,"[39.98203659057617, 24.997774124145508, 9.996957778930664]",,"[-35.00591278076172, -51.004493713378906, 9.99727725982666]",,"[-51.015541076660156, -34.99586868286133, 9.994227409362793]",,"[-50.99122619628906, 0.004891430959105492, 9.99809741973877]",
36.90029311180115,"[-19.98064613342285, 9.980976104736328, 10.007258415222168]",,"[0.0156699251383543, 29.973798751831055, 9.993896484375]",,"[-10.019591331481934, 70.01113891601562, 10.008435249328613]",,"[39.98322677612305, 25.000043869018555, 9.997255325317383]",,"[-35.00558853149414, -51.00434494018555, 9.997405052185059]",,"[-51.01555633544922, -34.99589157104492, 9.994559288024902]",,"[-50.99119186401367, 0.004925867076963186, 9.998126983642578]",
36.95028901100159,"[-19.980539321899414, 9.981616973876953, 10.00768756866455]",,"[0.017568187788128853, 29.970726013183594, 9.99421215057373]",,"[-10.019600868225098, 70.01136779785156, 10.008618354797363]",,"[39.98374938964844, 25.00098991394043, 9.997257232666016]",,"[-35.00516128540039, -51.00412368774414, 9.997422218322754]",,"[-51.01552200317383, -34.99591827392578, 9.994983673095703]",,"[-50.99114990234375, 0.004998799879103899, 9.998207092285156]",
37.00026512145996,"[-19.980497360229492, 9.981939315795898, 10.007737159729004]",,"[0.018489079549908638, 29.969219207763672, 9.994367599487305]",,"[-10.019614219665527, 70.01194763183594, 10.008695602416992]",,"[39.98439025878906, 25.002193450927734, 9.997186660766602]",,"[-35.00492858886719, -51.003936767578125, 9.997312545776367]",,"[-51.015464782714844, -34.99592208862305, 9.995163917541504]",,"[-50.99110412597656, 0.005086576100438833, 9.998344421386719]",
